# Magnus solar model B23-AGSS09
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Asplund et al. (2009), ARA&A, 47, 481
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_AGSS09.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
1.225e-01  1.85266e+00  6.04847e-01
1.230e-01  1.85079e+00  6.05843e-01
1.235e-01  1.84892e+00  6.06834e-01
1.240e-01  1.84705e+00  6.07822e-01
1.245e-01  1.84517e+00  6.08802e-01
1.250e-01  1.84329e+00  6.09777e-01
1.255e-01  1.84142e+00  6.10748e-01
1.260e-01  1.83954e+00  6.11712e-01
1.265e-01  1.83766e+00  6.12671e-01
1.270e-01  1.83577e+00  6.13624e-01
1.275e-01  1.83389e+00  6.14572e-01
1.280e-01  1.83201e+00  6.15514e-01
1.285e-01  1.83012e+00  6.16451e-01
1.290e-01  1.82824e+00  6.17383e-01
1.295e-01  1.82635e+00  6.18309e-01
1.300e-01  1.82445e+00  6.19230e-01
1.305e-01  1.82256e+00  6.20144e-01
1.310e-01  1.82067e+00  6.21053e-01
1.315e-01  1.81878e+00  6.21956e-01
1.320e-01  1.81689e+00  6.22854e-01
1.325e-01  1.81499e+00  6.23747e-01
1.330e-01  1.81309e+00  6.24635e-01
1.335e-01  1.81120e+00  6.25515e-01
1.340e-01  1.80930e+00  6.26390e-01
1.345e-01  1.80740e+00  6.27260e-01
1.350e-01  1.80549e+00  6.28126e-01
1.355e-01  1.80360e+00  6.28985e-01
1.360e-01  1.80169e+00  6.29838e-01
1.365e-01  1.79979e+00  6.30685e-01
1.370e-01  1.79788e+00  6.31528e-01
1.375e-01  1.79596e+00  6.32366e-01
1.380e-01  1.79406e+00  6.33198e-01
1.385e-01  1.79215e+00  6.34023e-01
1.390e-01  1.79024e+00  6.34844e-01
1.395e-01  1.78832e+00  6.35659e-01
1.400e-01  1.78641e+00  6.36469e-01
1.405e-01  1.78449e+00  6.37273e-01
1.410e-01  1.78258e+00  6.38072e-01
1.415e-01  1.78065e+00  6.38865e-01
1.420e-01  1.77873e+00  6.39653e-01
1.425e-01  1.77682e+00  6.40435e-01
1.430e-01  1.77490e+00  6.41213e-01
1.435e-01  1.77298e+00  6.41985e-01
1.440e-01  1.77105e+00  6.42752e-01
1.445e-01  1.76912e+00  6.43513e-01
1.450e-01  1.76719e+00  6.44269e-01
1.455e-01  1.76527e+00  6.45019e-01
1.460e-01  1.76334e+00  6.45765e-01
1.465e-01  1.76140e+00  6.46506e-01
1.470e-01  1.75947e+00  6.47240e-01
1.475e-01  1.75753e+00  6.47970e-01
1.480e-01  1.75560e+00  6.48695e-01
1.485e-01  1.75366e+00  6.49415e-01
1.490e-01  1.75172e+00  6.50129e-01
1.495e-01  1.74978e+00  6.50838e-01
1.500e-01  1.74784e+00  6.51542e-01
1.505e-01  1.74590e+00  6.52241e-01
1.510e-01  1.74395e+00  6.52936e-01
1.515e-01  1.74200e+00  6.53624e-01
1.520e-01  1.74004e+00  6.54308e-01
1.525e-01  1.73810e+00  6.54987e-01
1.530e-01  1.73615e+00  6.55660e-01
1.535e-01  1.73419e+00  6.56329e-01
1.540e-01  1.73225e+00  6.56993e-01
1.545e-01  1.73029e+00  6.57651e-01
1.550e-01  1.72833e+00  6.58304e-01
1.555e-01  1.72637e+00  6.58953e-01
1.560e-01  1.72441e+00  6.59597e-01
1.565e-01  1.72244e+00  6.60236e-01
1.570e-01  1.72048e+00  6.60869e-01
1.575e-01  1.71851e+00  6.61497e-01
1.580e-01  1.71654e+00  6.62122e-01
1.585e-01  1.71457e+00  6.62741e-01
1.590e-01  1.71261e+00  6.63354e-01
1.595e-01  1.71064e+00  6.63963e-01
1.600e-01  1.70866e+00  6.64568e-01
1.605e-01  1.70668e+00  6.65167e-01
1.610e-01  1.70471e+00  6.65761e-01
1.615e-01  1.70273e+00  6.66351e-01
1.620e-01  1.70075e+00  6.66936e-01
1.625e-01  1.69876e+00  6.67516e-01
1.630e-01  1.69678e+00  6.68091e-01
1.635e-01  1.69480e+00  6.68661e-01
1.640e-01  1.69281e+00  6.69227e-01
1.645e-01  1.69083e+00  6.69787e-01
1.650e-01  1.68884e+00  6.70343e-01
1.655e-01  1.68684e+00  6.70894e-01
1.660e-01  1.68485e+00  6.71441e-01
1.665e-01  1.68285e+00  6.71982e-01
1.670e-01  1.68085e+00  6.72519e-01
1.675e-01  1.67885e+00  6.73052e-01
1.680e-01  1.67685e+00  6.73580e-01
1.685e-01  1.67485e+00  6.74102e-01
1.690e-01  1.67285e+00  6.74620e-01
1.695e-01  1.67084e+00  6.75135e-01
1.700e-01  1.66883e+00  6.75644e-01
1.705e-01  1.66682e+00  6.76149e-01
1.710e-01  1.66481e+00  6.76650e-01
1.715e-01  1.66279e+00  6.77146e-01
1.720e-01  1.66078e+00  6.77637e-01
1.725e-01  1.65876e+00  6.78124e-01
1.730e-01  1.65674e+00  6.78606e-01
1.735e-01  1.65472e+00  6.79084e-01
1.740e-01  1.65271e+00  6.79558e-01
1.745e-01  1.65069e+00  6.80027e-01
1.750e-01  1.64866e+00  6.80493e-01
1.755e-01  1.64663e+00  6.80953e-01
1.760e-01  1.64460e+00  6.81410e-01
1.765e-01  1.64257e+00  6.81862e-01
1.770e-01  1.64054e+00  6.82310e-01
1.775e-01  1.63850e+00  6.82754e-01
1.780e-01  1.63646e+00  6.83193e-01
1.785e-01  1.63443e+00  6.83629e-01
1.790e-01  1.63239e+00  6.84061e-01
1.795e-01  1.63034e+00  6.84489e-01
1.800e-01  1.62830e+00  6.84912e-01
1.805e-01  1.62626e+00  6.85331e-01
1.810e-01  1.62421e+00  6.85747e-01
1.815e-01  1.62216e+00  6.86159e-01
1.820e-01  1.62011e+00  6.86567e-01
1.825e-01  1.61806e+00  6.86970e-01
1.830e-01  1.61600e+00  6.87369e-01
1.835e-01  1.61394e+00  6.87765e-01
1.840e-01  1.61188e+00  6.88158e-01
1.845e-01  1.60983e+00  6.88547e-01
1.850e-01  1.60777e+00  6.88931e-01
1.855e-01  1.60570e+00  6.89312e-01
1.860e-01  1.60364e+00  6.89689e-01
1.865e-01  1.60157e+00  6.90063e-01
1.870e-01  1.59950e+00  6.90432e-01
1.875e-01  1.59742e+00  6.90799e-01
1.880e-01  1.59535e+00  6.91162e-01
1.885e-01  1.59327e+00  6.91522e-01
1.890e-01  1.59119e+00  6.91877e-01
1.895e-01  1.58912e+00  6.92229e-01
1.900e-01  1.58703e+00  6.92578e-01
1.905e-01  1.58494e+00  6.92924e-01
1.910e-01  1.58286e+00  6.93265e-01
1.915e-01  1.58077e+00  6.93604e-01
1.920e-01  1.57868e+00  6.93939e-01
1.925e-01  1.57659e+00  6.94271e-01
1.930e-01  1.57450e+00  6.94599e-01
1.935e-01  1.57240e+00  6.94925e-01
1.940e-01  1.57030e+00  6.95247e-01
1.945e-01  1.56820e+00  6.95566e-01
1.950e-01  1.56610e+00  6.95882e-01
1.955e-01  1.56400e+00  6.96194e-01
1.960e-01  1.56189e+00  6.96504e-01
1.965e-01  1.55979e+00  6.96810e-01
1.970e-01  1.55768e+00  6.97113e-01
1.975e-01  1.55556e+00  6.97413e-01
1.980e-01  1.55345e+00  6.97710e-01
1.985e-01  1.55133e+00  6.98005e-01
1.990e-01  1.54922e+00  6.98296e-01
1.995e-01  1.54710e+00  6.98585e-01
2.000e-01  1.54497e+00  6.98870e-01
2.005e-01  1.54285e+00  6.99152e-01
2.010e-01  1.54073e+00  6.99432e-01
2.015e-01  1.53860e+00  6.99709e-01
