# Magnus solar model B16-GS98
#
# Reference:  N. Vinyoles, A. M. Serenelli, F. L. Villante, S. Basu, J. Bergström, M. C. Gonzalez-Garcia, M. Maltoni, C. Peña-Garay and N. Song, "A new generation of standard solar models", ApJ 835, 202 (2017), doi:10.3847/1538-4357/835/2/202, arXiv:1611.09867
# Source:     https://web.archive.org/web/20220701130350/https://www.ice.csic.es/personal/aldos/Solar_Data_files/struct_b16_gs98.dat
# Original:   struct_b16_gs98.dat
# Retrieved:  2022-07-01 capture, from http://www.ice.csic.es/personal/aldos/Solar_Data.html (offline since at least 2026; the Internet Archive holds it)
# SHA-256:    ac9a1bdfd72699bd3d702d90b95ad853618b563475e072c9748a9e7e375f3f33 (of struct_b16_gs98.dat)
# Terms:      No terms stated on the authors' page; cite Vinyoles et al. (2017).
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   # B16: A new Generation of Standard Solar Models
#   # arxiv:1611.09867
#   #
#   # Structure and detailed composition of the GS98 model
#   # Mass, radius and luminosity are normalized
#   # T, rho, P in cgs
#   # Abundances in mass fraction
#   #
#   #  Mass     Radius     Temp      Rho       Pres       Lumi      H1       He4      He3       C12       C13       N14        N15      O16       O17       O18        Ne        Na       Mg         Al        Si         P       S         Cl        Ar        K         Ca        Sc         Ti        V         Cr        Mn        Fe        Co        Ni
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.13500  6.409e+01  0.61438
0.13550  6.380e+01  0.61523
0.13600  6.352e+01  0.61608
0.13650  6.324e+01  0.61692
0.13700  6.296e+01  0.61776
0.13750  6.268e+01  0.61859
0.13800  6.240e+01  0.61941
0.13850  6.212e+01  0.62024
0.13900  6.185e+01  0.62105
0.13950  6.157e+01  0.62186
0.14000  6.130e+01  0.62266
0.14050  6.103e+01  0.62346
0.14100  6.075e+01  0.62426
0.14150  6.048e+01  0.62504
0.14200  6.021e+01  0.62583
0.14250  5.995e+01  0.62660
0.14300  5.968e+01  0.62737
0.14350  5.941e+01  0.62814
0.14400  5.914e+01  0.62890
0.14450  5.888e+01  0.62966
0.14500  5.862e+01  0.63041
0.14550  5.835e+01  0.63115
0.14600  5.809e+01  0.63189
0.14650  5.783e+01  0.63263
0.14700  5.757e+01  0.63336
0.14750  5.731e+01  0.63408
0.14800  5.705e+01  0.63480
0.14850  5.680e+01  0.63551
0.14900  5.654e+01  0.63622
0.14950  5.629e+01  0.63693
0.15000  5.603e+01  0.63763
0.15050  5.578e+01  0.63832
0.15100  5.553e+01  0.63901
0.15150  5.528e+01  0.63969
0.15200  5.503e+01  0.64037
0.15250  5.478e+01  0.64104
0.15300  5.453e+01  0.64172
0.15350  5.428e+01  0.64238
0.15400  5.403e+01  0.64304
0.15450  5.379e+01  0.64369
0.15500  5.354e+01  0.64434
0.15550  5.330e+01  0.64498
0.15600  5.306e+01  0.64562
0.15650  5.282e+01  0.64626
0.15700  5.258e+01  0.64689
0.15750  5.234e+01  0.64751
0.15800  5.210e+01  0.64813
0.15850  5.186e+01  0.64875
0.15900  5.162e+01  0.64936
0.15950  5.138e+01  0.64996
0.16000  5.115e+01  0.65056
0.16050  5.091e+01  0.65116
0.16100  5.068e+01  0.65175
0.16150  5.045e+01  0.65234
0.16200  5.022e+01  0.65292
0.16250  4.999e+01  0.65349
0.16300  4.975e+01  0.65407
0.16350  4.953e+01  0.65463
0.16400  4.930e+01  0.65519
0.16450  4.907e+01  0.65575
0.16500  4.884e+01  0.65631
0.16550  4.862e+01  0.65686
0.16600  4.839e+01  0.65740
0.16650  4.817e+01  0.65794
0.16700  4.794e+01  0.65847
0.16750  4.772e+01  0.65900
0.16800  4.750e+01  0.65953
0.16850  4.728e+01  0.66005
0.16900  4.706e+01  0.66057
0.16950  4.684e+01  0.66108
0.17000  4.662e+01  0.66158
0.17050  4.641e+01  0.66209
0.17100  4.619e+01  0.66259
0.17150  4.597e+01  0.66308
0.17200  4.576e+01  0.66357
0.17250  4.554e+01  0.66405
0.17300  4.533e+01  0.66453
0.17350  4.512e+01  0.66501
0.17400  4.491e+01  0.66548
0.17450  4.470e+01  0.66595
0.17500  4.449e+01  0.66641
0.17550  4.428e+01  0.66687
0.17600  4.407e+01  0.66733
0.17650  4.386e+01  0.66778
0.17700  4.365e+01  0.66822
0.17750  4.345e+01  0.66867
0.17800  4.324e+01  0.66910
0.17850  4.304e+01  0.66954
0.17900  4.283e+01  0.66997
0.17950  4.263e+01  0.67039
0.18000  4.243e+01  0.67082
0.18050  4.223e+01  0.67123
0.18100  4.203e+01  0.67165
0.18150  4.183e+01  0.67206
0.18200  4.163e+01  0.67246
0.18250  4.143e+01  0.67286
0.18300  4.123e+01  0.67326
0.18350  4.104e+01  0.67366
0.18400  4.084e+01  0.67405
0.18450  4.065e+01  0.67443
0.18500  4.045e+01  0.67482
0.18550  4.026e+01  0.67520
0.18600  4.007e+01  0.67557
0.18650  3.987e+01  0.67595
0.18700  3.968e+01  0.67631
0.18750  3.949e+01  0.67668
0.18800  3.930e+01  0.67704
0.18850  3.911e+01  0.67740
0.18900  3.892e+01  0.67775
0.18950  3.874e+01  0.67810
0.19000  3.855e+01  0.67845
0.19050  3.836e+01  0.67879
0.19100  3.818e+01  0.67914
0.19150  3.799e+01  0.67947
0.19200  3.781e+01  0.67981
0.19250  3.763e+01  0.68014
0.19300  3.744e+01  0.68047
0.19350  3.726e+01  0.68079
0.19400  3.708e+01  0.68111
0.19450  3.690e+01  0.68143
0.19500  3.672e+01  0.68174
0.19550  3.654e+01  0.68206
0.19600  3.636e+01  0.68236
0.19650  3.619e+01  0.68267
0.19700  3.601e+01  0.68297
0.19750  3.583e+01  0.68327
0.19800  3.566e+01  0.68357
0.19850  3.548e+01  0.68386
0.19900  3.531e+01  0.68415
0.19950  3.514e+01  0.68444
0.20000  3.496e+01  0.68472
0.20050  3.479e+01  0.68501
0.20100  3.462e+01  0.68528
0.20150  3.445e+01  0.68556
0.20200  3.428e+01  0.68583
0.20250  3.411e+01  0.68610
0.20300  3.394e+01  0.68637
