# Magnus solar model B23-AAG21
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Asplund et al. (2021), A&A 653, A141
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_AAG21.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
8.400e-02  1.99238e+00  5.11389e-01
8.450e-02  1.99065e+00  5.12695e-01
8.500e-02  1.98892e+00  5.13998e-01
8.550e-02  1.98720e+00  5.15301e-01
8.600e-02  1.98546e+00  5.16601e-01
8.650e-02  1.98371e+00  5.17899e-01
8.700e-02  1.98197e+00  5.19195e-01
8.750e-02  1.98023e+00  5.20489e-01
8.800e-02  1.97848e+00  5.21781e-01
8.850e-02  1.97673e+00  5.23070e-01
8.900e-02  1.97498e+00  5.24358e-01
8.950e-02  1.97322e+00  5.25642e-01
9.000e-02  1.97146e+00  5.26925e-01
9.050e-02  1.96970e+00  5.28204e-01
9.100e-02  1.96794e+00  5.29482e-01
9.150e-02  1.96617e+00  5.30757e-01
9.200e-02  1.96440e+00  5.32029e-01
9.250e-02  1.96263e+00  5.33297e-01
9.300e-02  1.96086e+00  5.34562e-01
9.350e-02  1.95908e+00  5.35826e-01
9.400e-02  1.95729e+00  5.37085e-01
9.450e-02  1.95552e+00  5.38341e-01
9.500e-02  1.95374e+00  5.39595e-01
9.550e-02  1.95195e+00  5.40845e-01
9.600e-02  1.95016e+00  5.42091e-01
9.650e-02  1.94837e+00  5.43334e-01
9.700e-02  1.94657e+00  5.44573e-01
9.750e-02  1.94478e+00  5.45810e-01
9.800e-02  1.94298e+00  5.47043e-01
9.850e-02  1.94118e+00  5.48271e-01
9.900e-02  1.93938e+00  5.49496e-01
9.950e-02  1.93758e+00  5.50718e-01
1.000e-01  1.93578e+00  5.51935e-01
1.005e-01  1.93397e+00  5.53148e-01
1.010e-01  1.93217e+00  5.54358e-01
1.015e-01  1.93035e+00  5.55564e-01
1.020e-01  1.92854e+00  5.56765e-01
1.025e-01  1.92673e+00  5.57962e-01
1.030e-01  1.92491e+00  5.59157e-01
1.035e-01  1.92309e+00  5.60344e-01
1.040e-01  1.92128e+00  5.61530e-01
1.045e-01  1.91946e+00  5.62711e-01
1.050e-01  1.91763e+00  5.63887e-01
1.055e-01  1.91580e+00  5.65060e-01
1.060e-01  1.91398e+00  5.66227e-01
1.065e-01  1.91216e+00  5.67388e-01
1.070e-01  1.91032e+00  5.68548e-01
1.075e-01  1.90849e+00  5.69702e-01
1.080e-01  1.90666e+00  5.70853e-01
1.085e-01  1.90482e+00  5.71997e-01
1.090e-01  1.90299e+00  5.73136e-01
1.095e-01  1.90115e+00  5.74272e-01
1.100e-01  1.89931e+00  5.75402e-01
1.105e-01  1.89746e+00  5.76529e-01
1.110e-01  1.89563e+00  5.77650e-01
1.115e-01  1.89379e+00  5.78765e-01
1.120e-01  1.89193e+00  5.79877e-01
1.125e-01  1.89009e+00  5.80983e-01
1.130e-01  1.88825e+00  5.82085e-01
1.135e-01  1.88640e+00  5.83181e-01
1.140e-01  1.88455e+00  5.84272e-01
1.145e-01  1.88269e+00  5.85359e-01
1.150e-01  1.88084e+00  5.86440e-01
